"Date","Sales USD"
"2020-10-23",8024.05
"2020-10-24",7696.71
"2020-10-25",15888.13
"2020-10-26",9182.2
"2020-10-27",9823.34
"2020-10-28",7179.62
"2020-10-29",10443.1
"2020-10-30",6975.54
"2020-10-31",6766.43
"2020-11-01",12732.3
"2020-11-02",1275.53
"2020-11-03",1974.22
"2020-11-04",2590.82
"2020-11-05",5091.61
"2020-11-06",3850.12
"2020-11-07",3514.82
"2020-11-08",2246.44
"2020-11-09",4954.87
"2020-11-10",11759.25
"2020-11-11",4199.73
"2020-11-12",911.7
"2020-11-13",6251.6
"2020-11-14",2664.8
"2020-11-15",6081.64
"2020-11-16",3037.05
"2020-11-17",3479.39
"2020-11-18",3478.73
"2020-11-19",1701.6
"2020-11-20",3083.63
"2020-11-21",2349.17
"2020-11-22",4993.14
"2020-11-23",4198.69
"2020-11-24",4731.11
"2020-11-25",5502.71
"2020-11-26",6853.4
"2020-11-27",24746.12
"2020-11-28",8227.59
"2020-11-29",6566.32
"2020-11-30",22547.28
"2020-12-01",1747.28
"2020-12-02",4878.13
"2020-12-03",6492.5
"2020-12-04",9420.45
"2020-12-05",4182.74
"2020-12-06",7216.3
"2020-12-07",13360
"2020-12-08",4072.49
"2020-12-09",3631.04
"2020-12-10",8264.33
"2020-12-11",10178.23
"2020-12-12",5850.21
"2020-12-13",13450.45
"2020-12-14",3972.27
"2020-12-15",4898.93
"2020-12-16",6093.47
"2020-12-17",2794.84
"2020-12-18",6745.55
"2020-12-19",2424.15
"2020-12-20",33330.77
"2020-12-21",9258.4
"2020-12-22",3334.16
"2020-12-23",3267.77
"2020-12-24",3416.86
"2020-12-25",2745.42
"2020-12-26",4371.58
"2020-12-27",18440.97
"2020-12-28",7723.26
"2020-12-29",7455.94
"2020-12-30",10468.08
"2020-12-31",5691.93
"2021-01-01",5820.24
"2021-01-02",4519.1
"2021-01-03",28163.24
"2021-01-04",13354.15
"2021-01-05",112561.06
"2021-01-06",23722.38
"2021-01-07",16544.19
"2021-01-08",3980.5
"2021-01-09",12161.32
"2021-01-10",12945.98
"2021-01-11",8890.42
"2021-01-12",2459.11
"2021-01-13",10411.35
"2021-01-14",19998.32
"2021-01-15",27607.76
"2021-01-16",39868.93
"2021-01-17",23773.04
"2021-01-18",31269.29
"2021-01-19",28208.81
"2021-01-20",15678.65
"2021-01-21",20436.02
"2021-01-22",21677.65
"2021-01-23",20378.1
"2021-01-24",29771.86
"2021-01-25",20345.27
"2021-01-26",17367.96
"2021-01-27",16109.18
"2021-01-28",8453.41
"2021-01-29",17591.04
"2021-01-30",402270.56
"2021-01-31",263729.25
"2021-02-01",64437.61
"2021-02-02",63565.7
"2021-02-03",108559.42
"2021-02-04",72501.34
"2021-02-05",45706.47
"2021-02-06",67946.87
"2021-02-07",41133.71
"2021-02-08",62936.26
"2021-02-09",34870.54
"2021-02-10",24677.6
"2021-02-11",41884.69
"2021-02-12",119656.63
"2021-02-13",30353.99
"2021-02-14",105748.1
"2021-02-15",111453.82
"2021-02-16",82918.64
"2021-02-17",332267.91
"2021-02-18",170185.2
"2021-02-19",55196.6
"2021-02-20",1095527
"2021-02-21",343472.47
"2021-02-22",153830.26
"2021-02-23",63421.5
"2021-02-24",118117.39
"2021-02-25",94791.48
"2021-02-26",65072.25
"2021-02-27",152575.44
"2021-02-28",116996.63
"2021-03-01",55484.39
"2021-03-02",48709.16
"2021-03-03",50878.33
"2021-03-04",165347.34
"2021-03-05",141888.32
"2021-03-06",116460.19
"2021-03-07",112723.11
"2021-03-08",67342.98
"2021-03-09",76303.45
"2021-03-10",136339.73
"2021-03-11",96394.67
"2021-03-12",80011.61
"2021-03-13",220768.97
"2021-03-14",87762.39
"2021-03-15",152105.31
"2021-03-16",66449.92
"2021-03-17",364255.55
"2021-03-18",47723.84
"2021-03-19",296670.25
"2021-03-20",279135.95
"2021-03-21",95868.59
"2021-03-22",45643.92
"2021-03-23",41121.74
"2021-03-24",74244.22
"2021-03-25",67089.63
"2021-03-26",71145.34
"2021-03-27",90762.93
"2021-03-28",53377.83
"2021-03-29",50042.94
"2021-03-30",99093.83
"2021-03-31",52766.86
"2021-04-01",188571.06
"2021-04-02",252710.33
"2021-04-03",108837.63
"2021-04-04",135041.17
"2021-04-05",137715.32
"2021-04-06",166024.9
"2021-04-07",82526.41
"2021-04-08",78762.13
"2021-04-09",86325.84
"2021-04-10",151880.11
"2021-04-11",144296.47
"2021-04-12",78834.47
"2021-04-13",58489.92
"2021-04-14",73503.4
"2021-04-15",96411.37
"2021-04-16",154344.58
"2021-04-17",129201.04
"2021-04-18",78739.23
"2021-04-19",81438.44
"2021-04-20",312301.6
"2021-04-21",211887.27
"2021-04-22",72868.24
"2021-04-23",105851.84
"2021-04-24",52887.53
"2021-04-25",73120.1
"2021-04-26",70309.36
"2021-04-27",71428.27
"2021-04-28",58144.67
"2021-04-29",120999.24
"2021-04-30",74678.39
"2021-05-01",86543.1
"2021-05-02",36956.22
"2021-05-03",40819.82
"2021-05-04",107964.84
"2021-05-05",76904.52
"2021-05-06",79455.66
"2021-05-07",54613.85
"2021-05-08",103847.73
"2021-05-09",21304.1
"2021-05-10",59865.36
"2021-05-11",69899.66
"2021-05-12",69381.9
"2021-05-13",40258.69
"2021-05-14",38450.99
"2021-05-15",30868.53
"2021-05-16",101656.83
"2021-05-17",63697.05
"2021-05-18",80352.14
"2021-05-19",53292.14
"2021-05-20",48190.5
"2021-05-21",84007.56
"2021-05-22",49277.92
"2021-05-23",32694.7
"2021-05-24",43348.88
"2021-05-25",77713.51
"2021-05-26",25004.33
"2021-05-27",29228.63
"2021-05-28",346407.21
"2021-05-29",54803.1
"2021-05-30",37603.26
"2021-05-31",38774.88
"2021-06-01",59255.29
"2021-06-02",106958.27
"2021-06-03",35438.01
"2021-06-04",23324.29
"2021-06-05",90732.48
"2021-06-06",51198.12
"2021-06-07",53230.81
"2021-06-08",35111.66
"2021-06-09",68068.93
"2021-06-10",67961.84
"2021-06-11",3697880.11
"2021-06-12",32137.38
"2021-06-13",45214.48
"2021-06-14",332947.87
"2021-06-15",134201.49
"2021-06-16",67681.57
"2021-06-17",50488.64
"2021-06-18",118432.92
"2021-06-19",42239.29
"2021-06-20",75081.34
"2021-06-21",18158.83
"2021-06-22",29662.46
"2021-06-23",77625.7
"2021-06-24",26249.46
"2021-06-25",30464.44
"2021-06-26",36832.52
"2021-06-27",33269.57
"2021-06-28",42031.65
"2021-06-29",136404.66
"2021-06-30",56833.78
"2021-07-01",90297.77
"2021-07-02",62766.74
"2021-07-03",58121.04
"2021-07-04",124005.93
"2021-07-05",57539.32
"2021-07-06",112731.83
"2021-07-07",140710.39
"2021-07-08",53614.43
"2021-07-09",64717.15
"2021-07-10",37348.79
"2021-07-11",39540.97
"2021-07-12",24517.43
"2021-07-13",64134.35
"2021-07-14",39970.97
"2021-07-15",138380.38
"2021-07-16",34505.55
"2021-07-17",145030.06
"2021-07-18",52542.84
"2021-07-19",54454.87
"2021-07-20",73290.04
"2021-07-21",299807.86
"2021-07-22",379788.53
"2021-07-23",77530.36
"2021-07-24",49225.55
"2021-07-25",52801.32
"2021-07-26",514599.3
"2021-07-27",138315.19
"2021-07-28",62854.98
"2021-07-29",57509.63
"2021-07-30",74198.64
"2021-07-31",66012.58
"2021-08-01",55789.35
"2021-08-02",469546.9
"2021-08-03",125264.51
"2021-08-04",157238.29
"2021-08-05",184516.95
"2021-08-06",181569.69
"2021-08-07",122068.21
"2021-08-08",2350438.49
"2021-08-09",324289.19
"2021-08-10",140733.64
"2021-08-11",300997.51
"2021-08-12",158634.39
"2021-08-13",136742.8
"2021-08-14",153724.96
"2021-08-15",74514.95
"2021-08-16",161128.71
"2021-08-17",282673.29
"2021-08-18",223570.52
"2021-08-19",123788.52
"2021-08-20",1714171.64
"2021-08-21",235542
"2021-08-22",199069.64
"2021-08-23",178327.05
"2021-08-24",365705.79
"2021-08-25",1046201.93
"2021-08-26",432597.69
"2021-08-27",396717.73
"2021-08-28",263247.8
"2021-08-29",294184.5
"2021-08-30",354237.47
"2021-08-31",458657.89
"2021-09-01",444605.4
"2021-09-02",264167.15
"2021-09-03",440109.53
"2021-09-04",229433.05
"2021-09-05",250985.68
"2021-09-06",120894.81
"2021-09-07",68695.84
"2021-09-08",274830.11
"2021-09-09",131938.38
"2021-09-10",96474.44
"2021-09-11",307490.6
"2021-09-12",107190.44
"2021-09-13",122934
"2021-09-14",119980.91
"2021-09-15",130285.45
"2021-09-16",84022.99
"2021-09-17",86132.25
"2021-09-18",86711.79
"2021-09-19",173794.19
"2021-09-20",885087.84
"2021-09-21",139893.8
"2021-09-22",143710.82
"2021-09-23",127214.4
"2021-09-24",96171.73
"2021-09-25",184102.4
"2021-09-26",169575.89
"2021-09-27",163895.28
"2021-09-28",622309.86
"2021-09-29",70870.35
"2021-09-30",143855.61
"2021-10-01",123370.62
"2021-10-02",144359.32
"2021-10-03",159451.96
"2021-10-04",202293.58
"2021-10-05",202418.07
"2021-10-06",145046.29
"2021-10-07",152156.46
"2021-10-08",192184.7
"2021-10-09",1299153.55
"2021-10-10",366567.7
